Product Name,Price,Discount,Product Link
Floral Embroidered Kurti Set,Rs. 1370Rs. 4999,N/A,https://www.myntra.com/kurta-sets/fiorra/fiorra-floral-embroidered-regular-thread-work-straight-kurti-with-palazzos--dupatta/31939703/buy
Embroidered Kurti Set,Rs. 1370Rs. 4999,N/A,https://www.myntra.com/kurta-sets/fiorra/fiorra-floral-embroidered-regular-thread-work-straight-kurti-with-palazzos--dupatta/31939704/buy
Printed Kurta & Harem Pants,Rs. 596Rs. 1499,N/A,https://www.myntra.com/kurta-sets/kjfab/kjfab-women-floral-printed-regular-pure-cotton-kurta-with-harem-pants/35554117/buy
Women Embroidered Kurta Sets,Rs. 1399Rs. 5000,N/A,https://www.myntra.com/kurta-sets/anveri+textiles/anveri-textiles-women-embroidered-thread-work-pure-silk-kurti-with-palazzos--dupatta/36167498/buy
Women Printed Kurta Set,Rs. 1650Rs. 2999,N/A,https://www.myntra.com/kurta-sets/jaipur+kurti/jaipur-kurti-women-floral-printed-a-line-kurta-with-trousers--dupatta/35181404/buy
Kurta with Trousers,Rs. 1500Rs. 2499,N/A,https://www.myntra.com/kurta-sets/w/w-geometric-print-cotton-co-ord-kurta-set-with-slim-pant/21136192/buy
Women Embroidered Kurta Sets,Rs. 616Rs. 3999,N/A,https://www.myntra.com/kurta-sets/trahimam/trahimam-women-ethnic-motifs-embroidered-pure-cotton-kurta-with-trousers--dupatta/34856236/buy
Kurta Trouser Dupatta Set,Rs. 1255Rs. 3599,N/A,https://www.myntra.com/kurta-sets/szn/szn-women-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/37929891/buy
Printed A-Line Kurta Set,Rs. 1079Rs. 4345,N/A,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-floral-printed-notch-neck-a-line-kurta-with-trousers-and-dupatta/37136907/buy
Women Printed Kurti Set,Rs. 1348Rs. 4997,N/A,https://www.myntra.com/kurta-sets/sangria/sangria-women-floral-printed-linen-kurti-with-salwar/35324487/buy
Women Embroidered Kurta with Palazzos With Dupatta,Rs. 799Rs. 2999,N/A,https://www.myntra.com/kurta-sets/dizon/dizon-women-ethnic-motifs-embroidered-regular-thread-work-kurta-with-palazzos--with-dupatta/36695549/buy
Floral Printed Kurta Set,Rs. 1399Rs. 3599,N/A,https://www.myntra.com/kurta-sets/kimayra/kimayra-floral-printed-anarkali-pure-cotton-kurta-with-palazzos-and-dupatta/32608414/buy
Women Kurta with Skirt With Dupatta,Rs. 1874Rs. 5680,N/A,https://www.myntra.com/kurta-sets/anayna/anayna-women-regular-kurta-with-skirt--with-dupatta/31766263/buy
Women A-Line Kurti Set,Rs. 1997Rs. 2377,N/A,https://www.myntra.com/kurta-sets/marquisa/marquisa-women-gotta-patti-detail-long-sleeve-a-line-kurti-set-with-dupatta/36164338/buy
Embroidered Kurta Set,Rs. 1850Rs. 5999,N/A,https://www.myntra.com/kurta-sets/vredevogel/vredevogel-floral-embroidered-sequinned-anarkali-kurta-with-trousers--dupatta/36202548/buy
Floral Woven Design Kurta Set,Rs. 1997Rs. 5399,N/A,https://www.myntra.com/kurta-sets/mabish+by+sonal+jain/mabish-by-sonal-jain-v-neck-floral-woven-design-mirror-work-a-line-fusion-kurti-with-dhoti-pants/31898045/buy
Women Printed Kurta Set,Rs. 579Rs. 2663,N/A,https://www.myntra.com/kurta-sets/rajnandini/rajnandini-women-floral-printed-regular-kurti-with-salwar--with-dupatta/36579387/buy
Kurta With Trousers & Dupatta,Rs. 1123Rs. 4890,N/A,https://www.myntra.com/kurta-sets/anayna/anayna--anarkali-pure-cotton-kurta-with-trousers--dupatta/23158876/buy
Printed Kurta Set & Dupatta,Rs. 1644Rs. 4699,N/A,https://www.myntra.com/kurta-sets/house+of+pataudi/house-of-pataudi-printed-kurti-sharara-with-dupatta-/33021535/buy
